id,title,genres,overview,release_date,poster_path,vote_average
696506,Mickey 17,"['Science Fiction', 'Comedy', 'Adventure']","Unlikely hero Mickey Barnes finds himself in the extraordinary circumstance of working for an employer who demands the ultimate commitment to the job… to die, for a living.",2025-02-28,/edKpE9B5qN3e559OuMCLZdW1iBZ.jpg,7.0
1286773,The Metropolitan Opera: Fidelio,['Music'],"Following a string of awe-inspiring Met performances, soprano Lise Davidsen stars as Leonore, who risks everything to save her husband from the clutches of tyranny.",2025-03-15,/9DU8GX7tiIZQQ15MY4b44Rtgnba.jpg,5.2
1315476,Paradiso,"['Drama', 'Horror']","Inside a cold and rusty bunker, Irina and Georgi endure the aftermath of a nuclear holocaust. Georgi´s heavy radiation sickness and imminent death prompts Irina to repair his old and beloved guitar so he can hear it one last time.",2025-03-15,/jN5fvKt25DtWVoPTRaEQgGmmMqd.jpg,8.0
1325495,The Escape,[],"Follows the final days of left-wing terrorist Satoshi Kirishima, who died in 2024 after evading capture for 49 years.",2025-03-15,/l8v8L2OC95tB4za2oex6wye4TwW.jpg,0.0
1340727,Afterwards,"['Horror', 'Romance']",A young man receives advice from his deceased grandfather about the afterlife when he suddenly starts to see said advice materialize.,2025-03-15,/nR5oqvfkWw94vVChRRiZRwEXhCL.jpg,0.0
1359744,Myself Two Seconds to Cry,['Music'],"The digital presence left by people I knew who died young has vanished.  Songs they’ve uploaded, photo albums, public diary entries, all deleted and all that’s left is generic obituaries.  When I think of these people, I think of a place. With two cameras, I’m capturing the outline of a memory we shared there in present and in past.",2025-03-15,/cnqztuI8rYP2XkGDvhMUmLbqnNe.jpg,0.0
1368096,Vodu Between two worlds,['Documentary'],"Voodoo tradition is too often victim of misperceptions and stereotypes in the Western imagination. In Togo, Voodoo is revealed in all its splendour and complexity. Through spectacular ceremonies, consultations and rites, an intimate connection is revealed that unites the visible world with that of invisible forces. By giving a voice to those who live and practise Voodoo, an authentic and nuanced perspective emerges, revealing the richness of this mysterious spirituality. It's a genuine burst of curiosity about a living heritage and the sumptuousness of its traditions.",2025-03-15,/pgFFAiInWaxkK3DDceITw3wUPKM.jpg,0.0
1418287,Royal-ish,"['TV Movie', 'Comedy', 'Romance']","Lacey is an amusement park princess who befriends 8-year-old Rose, a real-life princess, and is recruited by her handsome father to travel to their kingdom and be the new governess.",2025-03-15,/eviXuwmjoxSRzAz0sdkkvOEjNgh.jpg,7.0
1047884,Family Matters,"['Drama', 'Family']","Elder sister, Spring, seeks her origins before heading to university, Autumn, the mother, grapples with conceiving a child through artificial insemination, Summer, the younger brother, tries to engage with a paternal figure he barely knows just before his military service, and Winter, the father, desperately tries to change his fate as problems mount up.",2025-03-15,/kLI40epleDwfcpLRC6hAAQUerA4.jpg,0.0
1399893,Dead-Weight,"['Thriller', 'Comedy']","When three high school graduates supply booze for the big party, they discover their cargo isn't what they expected.",2025-03-15,/7FIlPqSh9i8uSmyrimpRj6rbWag.jpg,0.0
1404722,"Liar, Liar, Love is on Fire","['Romance', 'Comedy']","Influencer couple Xu Xiaoli and her ""hired boyfriend"" Hao Zha face a fan crisis and pressure from their boss. In response, Xu Xiaoli plans a fake wedding, but when Hao Zha unexpectedly disappears, she embarks on a wild chase to find him. Will their relationship survive the chaos?",2025-03-15,/lEnfI1fM97TYUSj4NykkUwI1yYF.jpg,1.0
1411411,A Day,"['Drama', 'Thriller']",A young boxer must confront his family's traumatic past when his estranged older brother is released from prison.,2025-03-15,/cVY0jS7iRs1TQwSMQAfufKJh9sd.jpg,0.0
1418112,Beneath The Tall Tree's Gaze,"['Drama', 'Horror']",,2025-03-15,/oVIJMEEO5elDaaFf9gyBP3HEl6M.jpg,0.0
1420234,Reincarnation,"['Science Fiction', 'Mystery', 'Thriller']","""A man is confronted with a haunting reality as he uncovers dark secrets about his identity and the truth behind his mysterious circumstances.""",2025-03-15,/4f0yXq68ukd5VBQGustyimX9ojz.jpg,0.0
1420492,Jenuh Eksistensialisme,[],Three female students discusses existentialism while trapped in their classroom.,2025-03-15,/kJGpgrsxW7ggv87vMQ1sJ6BQbAj.jpg,0.0
